Time,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w
1742955463.079582,0.5423533915090889,0.07794141436209208,0.642192012295992,-0.055271009213716825,0.07273354107702648,0.9957406379666234,-0.012471144482995645
1742955463.0845666,0.5423534368064113,0.07794158869817429,0.6421919667058947,-0.05527090355059657,0.072740468641579,0.9957401371108869,-0.012471198374505197
1742955463.0896778,0.5423534697341587,0.07794177337341175,0.6421917104703933,-0.055271167040044804,0.07274824204825654,0.9957395539984247,-0.012471245965739555
1742955463.0946753,0.5423536703371066,0.0779419204855164,0.6421912839582712,-0.055271476286791126,0.07275762203244711,0.9957388465905586,-0.012471637252842104
1742955463.0995774,0.542353744894408,0.07794218616381102,0.6421910312496916,-0.05527167726996979,0.07276775108009172,0.9957380928925218,-0.012471826541199396
1742955463.1046104,0.5423537569135979,0.07794214574451362,0.6421910540949697,-0.055271592949337346,0.07277693569623403,0.9957374233733601,-0.012472062270966986
1742955463.1096292,0.542353638681682,0.07794209659884178,0.6421912534344093,-0.05527144063524463,0.07278514627932861,0.9957368283574145,-0.012472328728757006
1742955463.1146872,0.5423535633784208,0.07794212264005654,0.6421915728803906,-0.05527097503490778,0.07279362393375778,0.9957362324875096,-0.012472487516984888
1742955463.1196065,0.542353461574575,0.07794217823949234,0.6421917450835941,-0.05527069326995149,0.07280217147319588,0.9957356195188455,-0.012472782996085747
1742955463.124747,0.5423534633226671,0.07794240077255919,0.6421916796756095,-0.05527072812655859,0.07281010573478329,0.9957350360575907,-0.01247289391593478
1742955463.129582,0.5423536057968138,0.07794256404947333,0.6421912973709613,-0.05527112299153622,0.07281812087755012,0.9957344261945018,-0.012473039975206605
1742955463.1346698,0.5423537625757143,0.07794267521379225,0.6421907882252014,-0.055271608832666276,0.07282530652168555,0.9957338718262412,-0.012473190650112684
1742955463.139684,0.5423539252740429,0.07794297931584497,0.6421904967772142,-0.05527186126916054,0.07283100108349087,0.9957334418145293,-0.012473150572755467
1742955463.1446981,0.5423539394288464,0.07794295409070799,0.6421905741002067,-0.05527170857017979,0.07283663955475425,0.9957330379430953,-0.012473143898726556
1742955463.149671,0.5423538535239246,0.0779428828208515,0.6421906604125807,-0.05527168039956174,0.07284230345868892,0.9957326236062848,-0.012473269771227773
1742955463.1547215,0.5423536714909962,0.0779428818724773,0.642191061268763,-0.055271384213528875,0.07284807067599246,0.9957322170302322,-0.012473357766243701
1742955463.1596026,0.5423536818474533,0.07794282685870342,0.6421911461804313,-0.05527116307895508,0.07285385173902763,0.9957318059903026,-0.01247338598687342
1742955463.1646054,0.5423536855314443,0.0779430525551846,0.6421910331293897,-0.05527122671444836,0.0728589898535347,0.995731426730133,-0.0124733683091738
1742955463.1695974,0.5423537048377112,0.07794332771886502,0.6421907940544646,-0.0552715934866142,0.0728635334151663,0.995731073945588,-0.012473364857700226
1742955463.1746747,0.5423539088249657,0.07794351160457044,0.6421903427538154,-0.05527196520349925,0.07286806511585885,0.9957307219792099,-0.012473341796632698
