Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,wrench.force.x,wrench.force.y,wrench.force.z,wrench.torque.x,wrench.torque.y,wrench.torque.z
1742951715.770744,55693,1742951715,770619931,ft_sensor0_wrench,-0.011791229248046875,0.08108711242675781,0.12498903274536133,0.0018178820610046387,0.0005926340818405151,0.0007449835538864136
1742951715.7774026,55694,1742951715,777286792,ft_sensor0_wrench,0.0193634033203125,0.12697601318359375,0.17102432250976562,0.002724885940551758,0.00046778470277786255,0.0007646530866622925
1742951715.7840526,55695,1742951715,783949578,ft_sensor0_wrench,-0.03588581085205078,0.12714385986328125,0.1230916976928711,0.0031813383102416992,0.001316569745540619,0.000736236572265625
1742951715.7907474,55696,1742951715,790615634,ft_sensor0_wrench,-0.019170284271240234,0.09479331970214844,0.1227579116821289,0.0026771128177642822,0.0010857805609703064,0.00028184056282043457
1742951715.7973998,55697,1742951715,797287307,ft_sensor0_wrench,-0.043297767639160156,0.07857513427734375,0.14638519287109375,0.002197861671447754,0.001808062195777893,0.0009368062019348145
1742951715.804061,55698,1742951715,803949254,ft_sensor0_wrench,-0.0062999725341796875,0.0818939208984375,0.19623470306396484,0.0018109679222106934,0.0004741251468658447,0.0007460713386535645
1742951715.8107924,55699,1742951715,810636741,ft_sensor0_wrench,0.018733978271484375,0.06357192993164062,0.17093420028686523,0.0017408132553100586,0.0005057752132415771,0.0007317811250686646
1742951715.8174248,55700,1742951715,817305511,ft_sensor0_wrench,0.0012750625610351562,0.0953826904296875,0.1710224151611328,0.0022364556789398193,0.0007501393556594849,0.0005238652229309082
1742951715.8240912,55701,1742951715,823965350,ft_sensor0_wrench,0.00805807113647461,0.08054733276367188,0.14763832092285156,0.0022358596324920654,0.00029662251472473145,0.0002904236316680908
1742951715.830761,55702,1742951715,830631394,ft_sensor0_wrench,-0.0010824203491210938,0.1263866424560547,0.12276029586791992,0.0031655430793762207,0.000803433358669281,0.000522613525390625
1742951715.8373659,55703,1742951715,837286232,ft_sensor0_wrench,-0.022305965423583984,0.06298065185546875,0.09977483749389648,0.0017549097537994385,0.0011510029435157776,0.00028198957443237305
1742951715.8440886,55704,1742951715,843964104,ft_sensor0_wrench,0.02614593505859375,0.11214256286621094,0.14764070510864258,0.002724289894104004,1.4275312423706055e-05,0.0005311965942382812
1742951715.8507626,55705,1742951715,850634044,ft_sensor0_wrench,-0.0018606185913085938,0.06357192993164062,0.1480393409729004,0.0013142526149749756,0.0008153617382049561,0.0005240291357040405
1742951715.8573437,55706,1742951715,857279371,ft_sensor0_wrench,0.05855751037597656,0.08011245727539062,0.1245718002319336,0.0017948746681213379,-0.0004472211003303528,0.0009800493717193604
1742951715.8641338,55707,1742951715,863965349,ft_sensor0_wrench,0.04046916961669922,0.048519134521484375,0.12456989288330078,0.0013064444065093994,-0.00016486644744873047,0.0007392615079879761
1742951715.870802,55708,1742951715,870651210,ft_sensor0_wrench,0.02301025390625,0.08032989501953125,0.12465763092041016,0.0018020868301391602,7.949769496917725e-05,0.0005313605070114136
1742951715.8774161,55709,1742951715,877301207,ft_sensor0_wrench,0.03682231903076172,0.09516525268554688,0.17093610763549805,0.002229243516921997,0.00022342056035995483,0.000972554087638855
1742951715.8841975,55710,1742951715,883947514,ft_sensor0_wrench,0.0012750625610351562,0.0953826904296875,0.1710224151611328,0.0022364556789398193,0.0007501393556594849,0.0005238652229309082
